Facility Name,Facility Address,County,Minimum Age,Phone Number for Appointments + Questions,Facility Website
Atlanticare Health Services FQHC,"1401 Atlantic Avenue, Suite 2800
Atlantic City",Atlantic,18 years,(609) 572-6040,
Atlantic County Health Department,Atlantic Cape Community College,Atlantic,18 years,,atlantic-county.org/covid/covid-vaccinations.asp
Atlantic County Megasite,Atlantic City Convention Center 1 Convention Boulevard Atlantic City,Atlantic,16 years,,vaccination.atlanticare.org/
"MediLink RxCare Hammonton, LLC","44 South White Horse Pike
Hammonton",Atlantic,18 years,(609) 956-1900,medilinkrxcare.com
ShopRite Pharmacy #612,"23 Bethel Road
Somers Point",Atlantic,18 years,,vaccines.shoprite.com
ShopRite Pharmacy #633,"616 White Horse Pike
Absecon",Atlantic,18 years,,vaccines.shoprite.com
Southern Jersey Family Medical Centers Atlantic City Center,1301 Atlantic Avenue Atlantic City,Atlantic,18 years,(800) 486-0131,sjfmc.org
Southern Jersey Family Medical Centers English Creek,"3003 English Crrek Avenue, Unit C6 Egg Harbor Township",Atlantic,18 years,(800) 486-0131,sjfmc.org
Southern Jersey Family Medical Centers Hammonton Center,860 S. White Horse Pike Hammonton,Atlantic,18 years,(800) 486-0131,sjfmc.org
Southern Jersey Family Medical Centers Merle Pavilion (formerly Pleasantville Center),932 South Main Street Pleasantville,Atlantic,18 years,(800) 486-0131,sjfmc.org
Bergen County,Bergen New Bridge Medical Center Annex Alternate Care Facility 230 East Ridgewood Avenue Paramus,Bergen,18 years,(800) 730-2762,BergenCOVIDvaccine.com
Bergen County Megasite,"Racetrack at Meadlowlands 1 Racetrack Drive East Rutherford, NJ",Bergen,16 years,,hackensackmeridianhealth.org/covid19/meadowlands/
ENGLEWOOD HEALTH DEPARTMENT,"73 S VAN BRUNT ST, ENGLEWOOD",,,201-871-6440 - leave message,cityofenglewood.org/coronavirus
Garfield Health Dept,"60 ELIZABETH ST, GARFIELD",Bergen,,551-224-4193,www.garfieldnj.org
Hackensack Meridian Health System,Multiple Locations,Bergen,18 years,(833) 565-0404,hackensackmeridianhealth.org/covid19
Haworth Apothecary,"169 Terrace Street 
Haworth",Bergen,18 years,(201) 384-7171,haworthapothecary.com/covid-19-vaccine
Holy Name Medical Center,Richard Rodda Community Center Teaneck,Bergen,18 years,,holyname.org
North Hudson Community Action - Hackensack,"25 East Salem Street, Suite 600 Hackensack",Bergen,18 years,(201) 210-0200,nhcac.org/
North Hudson Community Action - Garfield,535 Midland Avenue Garfield,Bergen,18 years,(201) 210-0200,nhcac.org/
North Hudson Community Action - Englewood,197 South Van Brunt Street Englewood,Bergen,18 years,(201) 210-0200,nhcac.org/
Ridgewood Village,Ridgewood Village Hall 131 North Maple Avenue Ridgewood,Bergen,18 years,,Pre-register at https://covidvaccine.nj.gov/
Riverside Medical Group - Saddle Brook,"299 Market Street, Suite 100 Saddle Brook",Bergen,18 years,(201) 368-1717,riversidemedgroup.com
RMG Urgent Care Center - Lodi,184 Essex Street Lodi,Bergen,18 years,(201) 843-3207,riversidemedgroup.com/riverside-urgent-care/
RMG PED RIVER EDGWTR,"935 RIVER RD, EDGEWATER",Bergen,,,riversidemedgroup.com
RMG PED MAIN RDGFD PRK,"200 MAIN ST, RIDGEFIELD PARK",,,,riversidemedgroup.com
RMG MED 870 PALISADE TEANECK,"870 PALISADE AVENUE, TEANECK",Bergen,,,riversidemedgroup.com
RMG MED MAYWOOD,"1 MAYWOOD AVENUE, MAYWOOD",Bergen,,,riversidemedgroup.com
ShopRite Pharmacy #169,"40 Nathaniel Place
Englewood",Bergen,18 years,,vaccines.shoprite.com
ShopRite Pharmacy of Rochelle Park,220 West Passaic Street Rochelle Park,Bergen,18 years,,vaccines.shoprite.com
The Valley Hospital,223 North Van Dien Ridgewood,Bergen,18 years,(800) Valley1 (800) 825-5391,valleyhealth.com/covid-19-vaccine-eligibility
Boyd’s Pharmacy of Mansfield,"23202 Columbus Road, Suite E
Columbus",Burlington,18 years,(609) 298-7474,boydsrxs.com
Boyd's Pharmacy of Medford,"5-100 Wilkins Station Road
Medford",Burlington,18 years,(609) 975-8197,boydsrxs.com
Boyd’s Pharmacy of Pemberton,"17 Fort Dix Road
Pemberton",Burlington,18 years,(609) 894-8288,boydsrxs.com
Burlington County Megasite,"Moorestown Mall (Lord & Taylor)
400 & 401 NJ-38 Moorestown",Burlington,16 years,,virtua.org/vaccine
RMG Urgent Care Center - Willingboro,4318 Route 130 North Willingboro,Burlington,18 years,(609) 871-2045,https://www.riversidemedgroup.com/services/urgent-care/willingboro-nj/
RMG MED MOORESTOWN,"740 MARNE HWY STE 206, MOORESTOWN",,,856-778-4009,riversidemedgroup.com
ShopRite Pharmacy #525,"892 Union Mill Road
Mount Laurel",Burlington,18 years,,vaccines.shoprite.com
ShopRite Pharmacy #540,"208 Route 70
Medford",Burlington,18 years,856-627-8137,vaccines.shoprite.com
Southern Jersey Family Medical Centers Burlington City Center,651 High Street Burlington City,Burlington,18 years,(800) 486-0131,sjfmc.org
Southern Jersey Family Medical Centers Buttonwood Center,600 Pemberton Mills Road Pemberton,Burlington,18 years,(800) 486-0131,sjfmc.org
CAMcare Health Corporation,817 Federal Street Camden,Camden,18 years,(856) 583-2400,camcare.net/camcare-appointments
CAMcare Health Corporation,121 South White Horse Pike Clementon,Camden,18 years,(856) 583-2400,
Camden County Vaccination Center,Camden County College Blackwood,Camden,18 years,,camdencounty.com/vaccineregistration/
OSBORN FAMILY HEALTH CENTER ADULTS,"1601 HADDON AVE, CAMDEN",,,,osbornfamilyhealthcenter.com
Project H.O.P.E.,"519-525 West Street
Camden",Camden,18 years,(856) 968-2320,projecthopecamden.org
Riverside Medical Group Camden,318 White Horse Pike Haddon Heights,Camden,18 years,(856) 547-6000,riversidemedgroup.com/adult-medicine/haddon-heights-nj/
RMG Mount Ephraim,"2 South Black Horse Pike
Mount Ephraim",Camden,18 years,(856) 931-3107,
RMG Urgent Care Center - Cherry Hill,2322 Route 38 Cherry Hill,Camden,18 years,(856) 779-0783,riversidemedgroup.com/riverside-urgent-care/
Rowan University School of Osteopathic Medicine,"1 Medical Drive 
Stratford",Camden,18 years,(888) 253-9133,rowanmedicine.com/vaccine
ShopRite Pharmacy #507,"1200 Chews Landing Road 
Laurel Springs",Camden,18 years,856-627-8137,vaccines.shoprite.com
